id,zero_intelligence_count,zero_intelligence_intensity,zero_intelligence_shading_min,zero_intelligence_shading_max,market_maker_count,market_maker_intensity,market_maker_number_orders,market_maker_number_of_ticks_between_orders,market_maker_spread_around_asset,national_best_bid_and_offer_delay,session_length
230,66,0.0005,0,500,2,0.005,3,25,256,0,4000
231,25,0.001,0,500,2,0.005,3,25,256,0,4000
232,66,0.001,0,500,2,0.005,3,25,256,0,4000
233,25,0.0005,0,250,4,0.005,3,25,256,0,4000
234,66,0.0005,0,250,4,0.005,3,25,256,0,4000
235,25,0.001,0,250,4,0.005,3,25,256,0,4000
236,66,0.001,0,250,4,0.005,3,25,256,0,4000
237,25,0.0005,0,500,4,0.005,3,25,256,0,4000
238,66,0.0005,0,500,4,0.005,3,25,256,0,4000
239,25,0.001,0,500,4,0.005,3,25,256,0,4000
240,66,0.001,0,500,4,0.005,3,25,256,0,4000
241,25,0.0005,0,250,2,0.005,3,50,256,0,4000
242,66,0.0005,0,250,2,0.005,3,50,256,0,4000
243,25,0.001,0,250,2,0.005,3,50,256,0,4000
244,66,0.001,0,250,2,0.005,3,50,256,0,4000
245,25,0.0005,0,500,2,0.005,3,50,256,0,4000
246,66,0.0005,0,500,2,0.005,3,50,256,0,4000
247,25,0.001,0,500,2,0.005,3,50,256,0,4000
248,66,0.001,0,500,2,0.005,3,50,256,0,4000
249,25,0.0005,0,250,4,0.005,3,50,256,0,4000
250,66,0.0005,0,250,4,0.005,3,50,256,0,4000
251,25,0.001,0,250,4,0.005,3,50,256,0,4000
252,66,0.001,0,250,4,0.005,3,50,256,0,4000
253,25,0.0005,0,500,4,0.005,3,50,256,0,4000
254,66,0.0005,0,500,4,0.005,3,50,256,0,4000
255,25,0.001,0,500,4,0.005,3,50,256,0,4000
256,66,0.001,0,500,4,0.005,3,50,256,0,4000
257,25,0.0005,0,250,2,0.005,3,25,128,500,4000
258,66,0.0005,0,250,2,0.005,3,25,128,500,4000
259,25,0.001,0,250,2,0.005,3,25,128,500,4000
260,66,0.001,0,250,2,0.005,3,25,128,500,4000
261,25,0.0005,0,500,2,0.005,3,25,128,500,4000
262,66,0.0005,0,500,2,0.005,3,25,128,500,4000
263,25,0.001,0,500,2,0.005,3,25,128,500,4000
264,66,0.001,0,500,2,0.005,3,25,128,500,4000
265,25,0.0005,0,250,4,0.005,3,25,128,500,4000
266,66,0.0005,0,250,4,0.005,3,25,128,500,4000
267,25,0.001,0,250,4,0.005,3,25,128,500,4000
268,66,0.001,0,250,4,0.005,3,25,128,500,4000
269,25,0.0005,0,500,4,0.005,3,25,128,500,4000
270,66,0.0005,0,500,4,0.005,3,25,128,500,4000
271,25,0.001,0,500,4,0.005,3,25,128,500,4000
272,66,0.001,0,500,4,0.005,3,25,128,500,4000
273,25,0.0005,0,250,2,0.005,3,50,128,500,4000
274,66,0.0005,0,250,2,0.005,3,50,128,500,4000
275,25,0.001,0,250,2,0.005,3,50,128,500,4000
276,66,0.001,0,250,2,0.005,3,50,128,500,4000
277,25,0.0005,0,500,2,0.005,3,50,128,500,4000
278,66,0.0005,0,500,2,0.005,3,50,128,500,4000
